Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total conexion,Accesos por cada 100 hab,Accesos por cada 100 hogares,Banda ancha fija,Dial up,Hasta 512 kbps,Entre 512 Kbps y 1 Mbps,Entre 1 Mbps y 6 Mbps,Entre 6 Mbps y 10 Mbps,Entre 10 Mbps y 20 Mbps,Entre 20 Mbps y 30 Mbps,Más de 30 Mbps,Otros Mbps,Total suma Mbps
2014,1,Buenos Aires,1567685,1000879,120960,16528,33824,2739876,16,54,2725732,14144.0,52684,687619,5130294,289182,101127,345,11595,0,6272846
2014,1,Capital Federal,445569,820161,17767,1866,14555,1299918,42,112,1289204,10714.0,52684,687619,5130294,289182,101127,345,11595,0,6272846
2014,1,Catamarca,24126,46,17,0,43,24232,6,24,24209,23.0,52684,687619,5130294,289182,101127,345,11595,0,6272846
2014,1,Chaco,52971,9497,30,0,58,62556,5,20,62520,36.0,52684,687619,5130294,289182,101127,345,11595,0,6272846
2014,1,Chubut,51066,539,866,10776,6974,70221,12,41,68205,2016.0,52684,687619,5130294,289182,101127,345,11595,0,6272846
2014,1,Corrientes,52565,8279,31,1306,55,62236,5,22,62203,33.0,52684,687619,5130294,289182,101127,345,11595,0,6272846
2014,1,Córdoba,336841,225769,347,3585,368,566910,16,52,566705,205.0,52684,687619,5130294,289182,101127,345,11595,0,6272846
2014,1,Entre Ríos,107883,21379,49,4887,133,134331,10,34,134216,115.0,52684,687619,5130294,289182,101127,345,11595,0,6272846
2014,1,Formosa,20774,4548,0,0,100,25422,4,17,25335,87.0,52684,687619,5130294,289182,101127,345,11595,0,6272846
2014,1,Jujuy,29765,4030,23,0,9,33827,4,18,33825,2.0,52684,687619,5130294,289182,101127,345,11595,0,6272846
2014,1,La Pampa,15826,31305,513,5848,701,54193,15,48,53601,592.0,52684,687619,5130294,289182,101127,345,11595,0,6272846
2014,1,La Rioja,15663,0,14,0,34,15711,4,16,15688,23.0,52684,687619,5130294,289182,101127,345,11595,0,6272846
2014,1,Mendoza,148970,12076,2480,37,2282,165845,8,31,164084,1761.0,52684,687619,5130294,289182,101127,345,11595,0,6272846
2014,1,Misiones,56597,17191,4,150,8,73950,6,23,73950,0.0,52684,687619,5130294,289182,101127,345,11595,0,6272846
2014,1,Neuquén,47790,28161,997,10381,3051,90380,14,49,88077,2303.0,52684,687619,5130294,289182,101127,345,11595,0,6272846
2014,1,Río Negro,64886,24156,876,3576,1572,95066,13,44,93909,1157.0,52684,687619,5130294,289182,101127,345,11595,0,6272846
2014,1,Salta,73131,17538,45,8,568,91290,6,28,91265,25.0,52684,687619,5130294,289182,101127,345,11595,0,6272846
2014,1,San Juan,48161,434,722,808,1173,51298,7,27,50543,755.0,52684,687619,5130294,289182,101127,345,11595,0,6272846
