centroide_lat,centroide_lon,id,nombre,nombre_completo
-26.8753965086829,-54.6516966230371,54,Misiones,Provincia de Misiones
-33.7577257449137,-66.0281298195836,74,San Luis,Provincia de San Luis
-30.8653679979618,-68.8894908486844,70,San Juan,Provincia de San Juan
-32.0588735436448,-59.2014475514635,30,Entre Ríos,Provincia de Entre Ríos
-48.8154851827063,-69.9557621671973,78,Santa Cruz,Provincia de Santa Cruz
-40.4057957178801,-67.229329893694,62,Río Negro,Provincia de Río Negro
-43.7886233529878,-68.5267593943345,26,Chubut,Provincia del Chubut
-32.142932663607,-63.8017532741662,14,Córdoba,Provincia de Córdoba
-34.6298873058957,-68.5831228183798,50,Mendoza,Provincia de Mendoza
-29.685776298315,-67.1817359694432,46,La Rioja,Provincia de La Rioja
-27.3358332810217,-66.9476824299928,10,Catamarca,Provincia de Catamarca
-37.1315537735949,-65.4466546606951,42,La Pampa,Provincia de La Pampa
-27.7824116550944,-63.2523866568588,86,Santiago del Estero,Provincia de Santiago del Estero
-28.7743047046407,-57.8012191977913,18,Corrientes,Provincia de Corrientes
-30.7069271588117,-60.9498369430241,82,Santa Fe,Provincia de Santa Fe
-26.9478001830786,-65.3647579441481,90,Tucumán,Provincia de Tucumán
-38.6417575824599,-70.1185705180601,58,Neuquén,Provincia del Neuquén
-24.7859,-65.41166,66,Salta,Provincia de Salta
-26.3864309061226,-60.7658307438603,22,Chaco,Provincia del Chaco
-24.894972594871,-59.9324405800872,34,Formosa,Provincia de Formosa
-23.3200784211351,-65.7642522180337,38,Jujuy,Provincia de Jujuy
-34.6144934119689,-58.4458563545429,2,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires
-36.6769415180527,-60.5588319815719,6,Buenos Aires,Provincia de Buenos Aires
-53.0,-67.5,94,"Tierra del Fuego, Antártida e Islas del Atlántico Sur","Provincia de Tierra del Fuego, Antártida e Islas del Atlántico Sur"
